"Dialect","Coptic Form","Coptic Transcription","Number","Gender","Coptic Meaning (Crum)","Class","Subclass","Property Type","Literal Interpretation (Kilani 2026)","Vocalic Pattern","Interpretation (Kilani 2026)","Suffix","Distinctive Vowel","Root ID","Pre-Coptic Root","Root Type","TLA IS","TLA en","TLE de","TLA - date first attestation"
"S","ⲥⲱⲕ","","0 | –","0 | –","[tr:] [intr:] to draw, to be drawn, to plough (often confused with ⲥⲱⲕ flow (as water, hair), blow (as wind, smoke), move on swiftly, glide)","action "," with direct object","dyn","","cV'cvc","ca'c(v)c","","a","1388","s.k.ꜣ","dyn/res","146610","to plough; to cultivate","pflügen; Acker bestellen","2494"
"S","ⲧⲱⲕⲥ","","0 | –","0 | –","[intr:] pierce, bite, be pierced, be studded (with nails &c)  | be fixed, settled (S) | [tr:] pierce, goad","action "," with direct object","dyn","","cV'cvc","ca'c(v)c","","a","720","t.k.s","dyn/res","173710","to reach, to pierce; to be fixed; settled, to be stygmatized","(einen Ort) erreichen; durchbohren; foltern; fixieren; (Steuern) festsetzen","1920"
"S","ⲃⲱⲧⲥ","","0 | –","0 | –","[tr:] draw up, set out, assess [?] | [intr:] be drawn up (for battle), fight","action "," with direct object","dyn","","cV'cvc","ca'c(v)c","","a","610","b.g.s","dyn/res","450143","to injure; to be injured; to be disloyal","schaden; illoyal sein","2321"
"S","ⲱⲃϣ","","0 | –","0 | –","[tr:] [intr:] forget, be forgotten | sleep","action "," with direct object","dyn/res","","cV'cvc","ca'c(v)c","","a","1807","ꜣ.b.ḫ","dyn/res","90","to mix; to join; to be merged with; to link; to be linked","verbunden sein; verschränkt sein (der Arme)","2345"
"S","ⲟⲩⲱϩ","","0 | –","0 | –","[intr:] [tr:] put, set, be | [intr:] be placed, dwell ","action "," with direct object","dyn/res","","cV'cvc","ca'c(v)c","","a","34","w.ꜣ.ḥ","dyn/res","43010","to lay down; to offer; to endure","legen; dauern; opfern; zurücklassen","2613"
"S","ⲟⲩⲱⲥϥ","","0 | –","0 | –","[intr:] be idle, brought to naught  | [tr:] leave idle, barren, annul","action "," with direct object","dyn/res","","cV'cvc","ca'c(v)c","","a","915","w.z.f","dyn/res","49520","to be idle; to neglect (something)","träge sein; (etwas) vernachlässigen","2321"
"S","ⲡⲱⲣϣ","","0 | –","0 | –","[intr:] be spread  | [tr:] spread ","action "," with direct object","dyn/res","","cV'cvc","ca'c(v)c","","a","531","p.r.ḫ","dyn/res","61240","to blossom; to unfurl (Sem. loan word)","aufblühen; hinbreiten; ausbreiten","1939"
"S","ⲡⲱⲥϣ","","0 | –","0 | –","[intr:] be amazed, beside oneself  | [tr:] (S,A), amaze, turn aside","action "," with direct object","dyn/res","","cV'cvc","ca'c(v)c","","a","927","p.z.ḫ","dyn/res","62240","to be in disarray; to be distraught; to confuse","verwirrt sein; verwirren","1939"
"S","ⲙⲟⲩⲧⲛ","","0 | –","0 | –","[tr:] rest, set at rest |  agree upon (S)","action "," with direct object","dyn/res","","cV'cvc","ca'c(v)c","","a","234","m.d.n","dyn/res","78220","to relax; to be relaxed","ruhig sein","1202"
"S","ϣⲱⲧⲙ","","0 | –","0 | –","[tr:] [intr:] shut, be shut","action "," with direct object","dyn/res","","cV'cvc","ca'c(v)c","","a","1989","ḫ.t.m","dyn/res","121710","to seal; to put a seal on","siegeln; verschließen; umschließen","2613"
"S","ⲟⲩⲱϣ","","0 | –","0 | –","[tr:] [intr:] desire, love","action "," with direct object","emot","","cV'cvc","ca'c(v)c","","a","74","w.ḫ.ꜣ","emot","49120","to seek; to take; to want","suchen; holen; begehren","2345"
"S","ⲱⲛϩ","","0 | –","0 | –","[tr:] [intr:] live, to be alive","action "," with direct object","existential_state","","cV'cvc","ca'c(v)c","","a","38","ꜥ.n.ḫ","existential_state","38530","to live; to be alive","leben","3018"
"B","ⲫⲱϧⲉⲣ","","0 | –","0 | –","[tr:] [intr:] charm, bewitch","action "," with direct object","dyn","","cV'cvc","ca'c(v)c","","a","386","p.ẖ.r","mov","61900","to turn round; to go around > to enchant","umhergehen; umwenden; zirkulieren; umgeben; durchziehen","2886"
"S","ⲧⲱⲗⲙ","","0 | –","0 | –","[intr:] be defiled, besmirched  | [tr:] defile, pollute","action "," with direct object","dyn/res","","cV'cvc","ca'c(v)c","","a","221","t.n.m","mov","172530","to turn aside; to go astray; to be confused","abwenden; irregehen","2321"
"S","ⲡⲱϩⲧ","","0 | –","0 | –","[tr:] [intr:] bend | [tr: refl:] bend self, fall |pour, flow","action "," with direct object","mov","","cV'cvc","ca'c(v)c","","a","142","p.ḫ.d","mov","59230","to become turned upside down; to turn over","umgedreht sein; herabhängen","2345"
"S","ⲡⲱⲱⲛⲉ","","0 | –","0 | –","[intr:] change, turn | [tr:] (S,F), turn ","action "," with direct object","mov","","cV'cvc","ca'c(v)c","","a","192","p.n.ꜥ","mov","59960","to turn upside down; to be turned upside down","(sich) umdrehen; kentern; umwenden; (sich) krümmen","2686"
"S","ϩⲱⲛⲧ","","0 | –","0 | –","[intr:] approach","action "," with direct object","mov","","cV'cvc","ca'c(v)c","","a","910","ḫ.n.d","mov","119430","to tread","treten; gehen","2375"
"S","ⲥⲱⲣⲙ","","0 | –","0 | –","[intr:] go astray, err, be lost  | [tr:] lead astray, lose","action "," with direct object","mov","","cV'cvc","ca'c(v)c","","a","345","z.b.n","mov","131760","to slide away; to steer (a ship) off course; to make fall","gleiten; straucheln; fehlleiten; umstürzen","2375"
"S","ϩⲱⲡ","","0 | –","0 | –","[tr:] [intr:] be hidden, hide","action "," with direct object","dyn/res","","cV'cvc","ca'c(v)c","","a","37","ḥ.ꜣ.p","qd","101300","to hide; to keep secret","verbergen; geheim halten","2065"
"A","ⲟⲩⲱⲥⳉ","","0 | –","0 | –","[intr:] become, be broad, at ease  | [tr:] make broad ","action "," with direct object","dyn/res","","cV'cvc","ca'c(v)c","","a","1761","w.s.ḫ","qual","49800","to be wide; to be broad","weit sein; breit sein; ausdehnen","2321"
"S","ⲟⲩⲱⲧ","","0 | –","0 | –","[intr:] be raw, fresh, green  | be, make soft [same ?]","action "," with direct object","qual","","cV'cvc","ca'c(v)c","","a","697","w.ꜣ.ḏ","qual","43580","to be green","grün sein; gedeihen; gedeihen lassen","2886"
"S","ⲛⲟⲩϥⲣ","","0 | –","0 | –","[intr:] be good, profitable ","action "," with direct object","qual","","cV'cvc","ca'c(v)c","","a","728","n.f.r","qual","83470","to be good; to be beautiful; to be perfect","gut sein; schön sein; vollkommen sein; vollendet sein","2686"
"S","ϣⲱⲣⲡ","","0 | –","0 | –","[intr:] [tr: refl:] be early","action "," with direct object","qual","","cV'cvc","ca'c(v)c","","a","14","ḫ.r.p","qual","120150","to be in front; to govern; to control; to administer","leiten; beaufsichtigen","2494"
"S","ϭⲟⲉⲓⲗⲉ","","0 | –","0 | –","[intr:] [tr:] deposit, assign, entrust; dwell ","action "," with direct object","dyn/res","","cV'ccvy","ca'ccay","","a","2523","q.ꜣ.r","dyn/res","850645","to stay; to deposit","sich aufhalten; deponieren","1920"
"S","ⲙⲟⲥⲧⲉ","","0 | –","0 | –","[tr:] hate","action "," with direct object","emot","","cV'ccvy","ca'ccay","","a","78","m.s.ḏ","emot","76210","to hate; to dislike","hassen; verabscheuen","2375"
"S","ϣⲁⲁⲣⲉ","","0 | –","0 | –","[tr:] [intr:] smite","action "," with direct object","dyn","","cV'ccvy","ca'ccay","","a","1961","ḫ.ꜥ.r","qual/dyn","114890","to rage","wütend werden; wütend sein; wüten","1939"
"S","ϣⲙϣⲉ","","0 | –","0 | –","[tr:] [intr:] serve, worship","action "," with direct object","dyn","","cV'ccvy-t","cE'ccEy-t","","E","468","š.m.s","dyn","155000","to follow; to accompany; to bring","folgen; geleiten; herbeibringen","2503"
"S","ϩⲡⲟⲧ","","1 | sg.","0 | –","fathom ","abstract "," measure","act","the enclosing one","cvcV'c","cvc:a:'c","","a","814","ḥ.t.p","dyn","104230","to embrace; to enclose","umarmen; umfassen","1939"
"S","ⲉⲗⲁⲙ","","1 | sg.","0 | –","measure or quantity, applied to papyrus & loaves (?)","abstract "," measure","res/pass","the enclosed one","cvcV'c","cvc:E:'c","","E","432","ꜥ.n.b","dyn","38390","to enclose, to close (the mouth)","(den Mund) verschließen; umschließen","1292"
"S","ⲡⲗⲟϭ","","1 | sg.","1 | m.","portion, part","abstract "," measure","qual","the divided one","cvcV'c","cvca:'c","","a","1263","p.n.g","dyn","60150","to divide; to share (?)","teilen","1292"
"S","ⲡⲁϩⲣⲉ","","1 | sg.","1 | m.","drug, medicament; paint, colour ","concrete "," object","mov","the turning/-ed one ?","cV'ccvy","ca'/E'ccvy","","a/E","386","p.ẖ.r","mov","61900","to turn round; to go around > to enchant","umhergehen; umwenden; zirkulieren; umgeben; durchziehen","2886"
"S","ϩⲱⲃⲥ","","1 | sg.","1 | m.","covering, lid","concrete "," object","act","the covering one","cV'cvc","ca'c:ac","","a","79","ḥ.b.s","dyn","103740","to clothe; to cover","bekleiden; verhüllen","2345"
"S","ⲟⲩⲟⲙⲧⲉ","","1 | sg.","2 | f.","tower (heavily built) ","concrete "," object","qual","the thick one","cV'ccv(y)t","ca'c(a)cvt","","a","1724","w.m.t","qual","45920","to be thick; to become thick","dick sein","2445"
"B","ⲫⲟⲣϣⲓ","","1 | sg.","2 | f.","table","concrete "," object","res/pass","the spread one","cV'ccv(y)t","ca'c(E)cvt","","a","531","p.r.ḫ","dyn","61240","to blossom; to unfurl; to spread out (Sem. loan word)","aufblühen; hinbreiten; ausbreiten","1939"
"S","ⲡⲟϭⲉ","","1 | sg.","2 | f.","broken piece, fragment","concrete "," object","res/pass","the open(ed) (broken?) one","cV'ccv(y)t","ca'c(E)cvt","","a","1309","p.g.ꜣ","dyn","62730","to unfold; to open up","ausbreiten; öffnen","1980"
"S","ϣⲟⲛⲧⲉ","","1 | sg.","2 | f.","plaited work ","concrete "," object","res/pass","the plaited one","cV'ccv(y)t","ca'c(E)cvt","","a","1934","ḫ.n.d","dyn","119450","to plait; to (en)twine","flechten; weben; knüpfen","1279"
"S","ⲣⲟⲕϩⲉ","","1 | sg.","1 | m.","fuel, firewood","concrete "," object","unclear","the to-be-burnt/burning one","cV'ccvy","ca'ccay","","a","136","r.k.ḥ","dyn","96440","to light (a fire); to burn up","(Feuer) anfachen; erhitzen; brennen","2375"
"S","ϩⲁⲕⲉ","","1 | sg.","2 | f.","scraper, razor, shearer","concrete "," object","act","the shaving one","cV'ccv(y)t","ca'ccayt","","a","2137","ẖ.ꜥ.q","dyn","122800","to shave","rasieren","2321"
"S","ϩⲟⲃⲥ","","1 | sg.","1 | m.","covering, lid","concrete "," object","act","the covering one","cV'ccvy","ca'ccvy","","a","79","ḥ.b.s","dyn","103740","to clothe; to cover","bekleiden; verhüllen","2345"
"S","ⲛⲁϩⲃ","","1 | sg.","1 | m.","yoke ","concrete "," object","act","the harnessing one","cV'ccvy","ca'ccvy","","a/E","457","n.ḥ.b","dyn","86140","to harness; to yoke; to appoint with","(Pferde) anschirren","1818"
"B","ⲣⲟⲕϩ","","1 | sg.","1 | m.","fuel, firewood","concrete "," object","unclear","the to-be-burnt/burning one","cV'ccvy","ca'ccvy","","a","136","r.k.ḥ","dyn","96440","to light (a fire); to burn up","(Feuer) anfachen; erhitzen; brennen","2375"
"S","ϩⲟⲧⲡ","","1 | sg.","0 | –","thing joined/joining [?], chain, rim ","concrete "," object","unclear","the joining/-ed one","cV'ccvy","ca'ccvy","","a","814","ḥ.t.p","dyn","104230","to embrace; to enclose","umarmen; umfassen","1939"
"S","ϩⲁⲁⲕ","","1 | sg.","1 | m.","cobbling tailor","concrete "," object","act","the shaving one","cV'ccvy","ca'ccvy","","a","2137","ẖ.ꜥ.q","dyn","122800","to shave","rasieren","2321"
"S","ⲟⲩⲟⲧϩ","","1 | sg.","1 | m.","pouring thing, cup ","concrete "," object","act","the pouring one","cV'ccvy/-t","ca'ccvy","","a","485","w.d.ḥ","dyn","51870","to pour out","schütten; gießen","2445"
"B","ⲕⲟⲧⲥ","","1 | sg.","1 | m.","thing firmly fixed, thing studded, incrusted, seat","concrete "," object","qual","the fixed one","cV'ccvy","ca'ccvy","","a","720","t.k.s","dyn/res","173710","to reach, to pierce; to be fixed; settled, to be stygmatized","(einen Ort) erreichen; durchbohren; foltern; fixieren; (Steuern) festsetzen","1920"
"S","ⲟⲩⲟⲟⲧⲉ","","1 | sg.","1 | m.","greens, herbs ","concrete "," object","qual","the green one","cV'ccvy","ca'ccvy","","a","697","w.ꜣ.ḏ","qual","43580","to be green","grün sein; gedeihen; gedeihen lassen","2886"
"S","ⲟⲩⲟⲥⲣ","","1 | sg.","1 | m.","oar ","concrete "," object","qual","the powerful/governing one","cV'ccvy","ca'ccvy","","a","1743","w.s.r","qual","500010","to be strong; to be powerful, in power","mächtig sein; stark sein; stärken","2375"
"S","ⲟⲑⲉ","","1 | sg.","2 | f.","outlet (of water); also: footprint","concrete "," object","act","the pouring one","cV'ccvy/-t","ca'ccvyt","","a","485","w.d.ḥ","dyn","51870","to pour out","schütten; gießen","2445"
"S","ϩⲱⲱⲕⲉ","","0 | –","0 | –","fleece ","concrete "," object","res/pass","the shaved one, the shaved thing","cV'cvc","ca'cEc","","a","2137","ẖ.ꜥ.q","dyn","122800","to shave","rasieren","2321"
"B","ⲣⲱⲕϩ","","1 | sg.","1 | m.","fuel, firewood","concrete "," object","unclear","the to-be-burnt/burning one","cV'cvc/cV'ccvt","ca'cEc","","a","136","r.k.ḥ","dyn","96440","to light (a fire); to burn up","(Feuer) anfachen; erhitzen; brennen","2375"
"A","ⳉⲱⲧⲙⲉ","","1 | sg.","0 | –","closed thing, chain ","concrete "," object","res/pass","the closed one","cV'cvc","ca'cEc","","a","1989","ḫ.t.m","dyn/res","121710","to seal; to put a seal on","siegeln; verschließen; umschließen","2613"
"S","ⲧⲏⲧϥ","","1 | sg.","0 | –","kind of jug","concrete "," object","unclear","the overlowing/ed one","cV'cvc","cE'c:Ec","","E","1662","ṯ.t.f","dyn/res","177490","to overflow; to be flooded","ausschütten; sich ergießen; überflutet sein","1980"
"S","ϩⲏⲃⲥ","","1 | sg.","1 | m.","lamp ","concrete "," object","unclear","the illuminating one (""illuminated""? ""illuminating oneself""?)","cV'cvc","cE'c:Ec","","E","402803","ḫ.b.s","unclear","115800","to illuminate","leuchten","1292"
"S","ϩⲃⲥ","","1 | sg.","1 | m.","covering, lid","concrete "," object","act","the covering one","cV'ccvy","cE'ccvy","","E","79","ḥ.b.s","dyn","103740","to clothe; to cover","bekleiden; verhüllen","2345"
"S","ⲟⲩⲁⲧϩⲉ","","1 | sg.","1 | m.","warp (on loom)","concrete "," object","res/pass","the bound one","cV'ccvy","cE'ccvy","","E","1828","j.t.ḥ","dyn","33410","to tow, to bind","ziehen","2375"
"B","ϭⲁⲗⲡ","","1 | sg.","1 | m.","mass, lump","concrete "," object","res/pass","the divided one","cV'ccvy","cE'ccvy","","E","1263","p.n.g","dyn","60150","to divide; to share (?)","teilen","1292"
"S","ⲗⲉⲡⲥⲉ","","1 | sg.","1 | m.","fragment, small portion","concrete "," object","res/pass","the devoured one","cV'ccvy","cE'ccvy","","E","996","n.s.b","dyn","88100","to devour; to lick","verschlingen; ablecken","2375"
"S","ⲧⲁⲝ","","1 | sg.","1 | m.","molar tooth","concrete "," object","qual","the fixed one","cV'ccvy","cE'ccvy","","E","720","t.k.s","dyn/res","173710","to reach, to pierce; to be fixed; settled, to be stygmatized","(einen Ort) erreichen; durchbohren; foltern; fixieren; (Steuern) festsetzen","1920"
"S","ⲁⲧϩⲉ","","1 | sg.","2 | f.","woven garment (?)","concrete "," object","res/pass","the bound (woven) one","cV'ccv(y)t","cE'ccvyt","","E","1828","j.t.ḥ","dyn","33410","to tow, to bind","ziehen","2375"
"S","ⲁϣⲙⲓ","","1 | sg.","2 | f.","thing burnt & quenched [?], soot  | wick","concrete "," object","res/pass","the burnt/quenched one","cV'ccv(y)t","cE'ccvyt","","E","1832","ꜥ.ḫ.m","dyn","40630","to quench; to extinguish","löschen; versiegen","2375"
"S","ⲡⲁϭⲥⲉ","","1 | sg.","2 | f.","spittle ","concrete "," object","res/pass","the spit one","cV'ccv(y)t","cE'ccvyt","","E","1094","p.s.g","dyn","62340","to spit on; to spit at","speien; anspucken","2375"
"S","ⲡⲁⲧⲥⲉ","","1 | sg.","2 | f.","thing divided, split off, plank ","concrete "," object","res/pass","the destroyed one","cV'ccv(y)t","cE'ccvyt","","E","1296","p.d.s","dyn","63120","to destroy; to flatten","breitdrücken; zerstören","1580"
"S","ⲛⲉⲃⲧⲉ","","1 | sg.","2 | f.","plait, tress","concrete "," object","res/pass","the one winded around","cV'ccv(y)t","cE'ccvyt","","E","1177","n.b.d","dyn","82850","to wind around; to coil","flechten; sich frisieren","1539"
"S","ⲥⲃϣⲉ","","1 | sg.","2 | f.","shield ","concrete "," object","res/pass","the enclosed one (?)","cV'ccv(y)t","cE'ccvyt","","E","1384","s.b.š","dyn","131940","to enclose (with the arms); to enfold (in the arms)","umschließen (mit den Armen)","2345"
"S","ⲥⲛⲧⲉ","","1 | sg.","2 | f.","foundation; base","concrete "," object","res/pass","the founded one","cV'ccv(y)t","cE'ccvyt","","E","284","s.n.ṯ","dyn","138620","to found","gründen; schaffen","2345"
"S","ⲥⲓϩⲡⲉ","","1 | sg.","2 | f.","drop","concrete "," object","res/pass","the swallowed one","cV'ccv(y)t","cE'ccvyt","","E","1540","s.ẖ.b","dyn","143480","to swallow (something liquid); to quaff","verschlingen; einschlürfen; (Heilmittel) einnehmen","1759"
"S","ⲕⲗⲙⲉ","","1 | sg.","2 | f.","pad, poultice (of wool)","concrete "," object","res/pass","the one wrapped in","cV'ccv(y)t","cE'ccvyt","","E","796","k.n.m","dyn","164780","to wrap in","einhüllen (in ein Gewand)","2321"
"S","ⲧⲁϩⲥ","","1 | sg.","2 | f.","ointment","concrete "," object","res/pass","the stretched (smeared?) one","cV'ccv(y)t","cE'ccvyt","","E","246","ṯ.ḥ.s","dyn","176760","to stretch (e.g., leather)","(Leder) recken; ausspannen","2445"
"S","ϫⲁⲧⲙⲉ","","1 | sg.","2 | f.","heap (of grain)","concrete "," object","res/pass","the collected one","cV'ccv(y)t","cE'ccvyt","","E","2466","ḏ.d.m","dyn","186160","to collect; to assemble","sammeln; versammeln","1939"
"S","ϣⲁⲁⲧⲉ","","1 | sg.","2 | f.","part cut off, portion ","concrete "," object","res/pass","the cut-off one","cV'ccv(y)t","cE'ccvyt","","E","122","š.ꜥ.d","dyn","450452","to cut off","abschneiden","2445"
"S","ⲟⲩⲁϩⲙⲉ","","1 | sg.","2 | f.","what is added, storey (of house)","concrete "," object","res/pass","the added one","cV'ccv(y)t","cE'ccvyt","","a/E","650","w.ḥ.m","dyn","48440","to repeat","wiederholen (allg.)","2414"
"B","ⲟⲩⲁⲑⲛⲓ","","1 | sg.","2 | f.","hole","concrete "," object","res/pass","the broken-through one","cV'ccv(y)t","cE'ccvyt","","E","1752","w.t.n","dyn","51170","to break through","durchbohren; durchbrechen","1213"
"S","ⲟⲩⲁⲧⲃⲉ","","1 | sg.","2 | f.","pierced place, hole ","concrete "," object","res/pass","the pierced one","cV'ccv(y)t","cE'ccvyt","","E","402807","w.ḏ.b","dyn","52620","to turn back; to fold over; to revert","umwenden; zuwenden","2375"
"S","ⲟⲩⲉⲣϣⲉ","","1 | sg.","2 | f.","watch, watch tower","concrete "," object","qual","the awake one ?","cV'ccv(y)t","cE'ccvyt","","E","219","w.r.š","existential_state","48130","to spend the day; to be awake","den Tag zubringen; wachen; verweilen","2414"
"S","ⲃⲛⲛⲉ","","1 | sg.","2 | f.","date, date palm-tree (lit.: 'the sweet one')","concrete "," object","qual","the sweet one","cV'ccv(y)t","cE'ccvyt","","E","406","b.n.r","qual","55940","to be sweet","süß sein","2494"
"B","ⲥⲛⲁϩ","","0 | –","0 | –","bond, fetter","concrete "," object","act","the tying up one","cvcV'c","cvc:a:'c","","a","931","s.n.ḥ","dyn","137850","to tie up; to fetter","binden, fesseln","2321"
"S","ϣⲧⲟⲃ","","1 | sg.","0 | –","muzzle, halter ","concrete "," object","act","the enclosing one","cvcV'c","cvc:a:'c","","a","1986","š.t.b","dyn","158290","to shut in; to enclose","einschließen; verschließen","1292"
"S","ⲕⲗⲟⲙ","","1 | sg.","1 | m.","crown, wreath ","concrete "," object","act","the wrapping one","cvcV'c","cvc:a:'c","","a","796","k.n.m","dyn","164780","to wrap in","einhüllen (in ein Gewand)","2321"
"S","ϫⲛⲟϥ","","1 | sg.","1 | m.","basket, crate","concrete "," object","act","the measuring one","cvcV'c","cvc:a:'c","","a","2584","ṯ.n.f","dyn","175920","to measure; to appraise","messen; veranschlagen; zusammenrechnen","1106"
"S","ϭⲣⲟϭ","","1 | sg.","1 | m.","seed ","concrete "," object","act","the establishing one","cvcV'c","cvc:a:'c","","a","705","g.r.g","dyn/mov/postural","168000","to establish; to equip; to organize","gründen; einrichten","2345"
"S","ϣⲧⲟⲙ","","1 | sg.","1 | m.","thing shutting (or) shut, gate ","concrete "," object","unclear","the sealed/sealing one","cvcV'c","cvc:a:'c","","a","1989","ḫ.t.m","dyn/res","121710","to seal; to put a seal on","siegeln; verschließen; umschließen","2613"
"S","ⲁϩⲟ","","1 | sg.","1 | m.","treasure, treasury, store house","concrete "," object","postural","the standing one","cvcV'c","cvc:a:'c","","a","148","ꜥ.ḥ.ꜥ","postural","40110","to stand; to stand up","stehen; aufstehen","3150"
"S","ⲣⲁⲙⲟⲩⲛⲉ","","1 | sg.","1 | m.","part of door, doorpost, support beam ?","concrete "," object","act","the supporing one","cvcV'cvy","cvc:a'cvy","","a","1325","r.m.n","dyn","94400","to carry; to support","tragen; (sich) stützen (auf)","2375"
"S","ⲁⲧⲁϩ","","1 | sg.","1 | m.","type fabric; what is tied on; load","concrete "," object","res/pass","the bound one","cvcV'c","cvc:E:'c","","E","1828","j.t.ḥ","dyn","33410","to tow, to bind","ziehen","2375"
"B","ⲁⲑⲁϩ","","1 | sg.","1 | m.","what is bound (upon (?) man or beast,) burden ","concrete "," object","res/pass","the bound one","cvcV'c","cvc:E:'c","","E","1828","j.t.ḥ","dyn","33410","to tow, to bind","ziehen","2375"
"S","ⲟⲩϣⲁⲡ","","1 | sg.","1 | m.","loan","concrete "," object","res/pass","what is answered/given back","cvcV'c","cvc:E:'c","","E","375","w.š.b","dyn","50340","to answer; to answer for","antworten; (sich) einsetzen für; rächen","1939"
"S","ⲟⲩϣⲁⲙ","","1 | sg.","1 | m.","dough","concrete "," object","res/pass","the stirred one","cvcV'c","cvc:E:'c","","E","1760","w.š.m","dyn","50540","to stir (med.)","anrühren; vermengen","1580"
"S","ⲟⲩⲧⲁϩ","","1 | sg.","1 | m.","fruit ","concrete "," object","res/pass","the borne one","cvcV'c","cvc:E:'c","","E","1753","w.ḏ.ḥ","dyn","52750","to bear fruit (?); to ripen (?)","Frucht tragen (?); reifen (?); bepflanzt sein","1202"
"S","ϭⲗⲁⲡ","","1 | sg.","1 | m.","mass, lump","concrete "," object","res/pass","the divided one","cvcV'c","cvc:E:'c","","E","1263","p.n.g","dyn","60150","to divide; to share (?)","teilen","1292"
"S","ⲑⲁⲃ","","1 | sg.","1 | m.","leaven","concrete "," object","res/pass","the moistened one","cvcV'c","cvc:E:'c","","E","1681","t.ḫ.b","dyn","173210","to dip; to moisten; to irrigate","eintauchen; anfeuchten; bewässern","1845"
"S","ⲙⲡⲁⲓ","","1 | sg.","1 | m.","spindle ","concrete "," object","res/pass","the rolled one","cvcV'c","cvc:E:'c","","E","1082","n.b.ꜣ","dyn/mov","82480","to tie (?); to roll (?)","einrollen (?)","1539"
"S","ϩⲁⲗⲓⲃ","","1 | sg.","0 | –","casting-net","concrete "," object","unclear","the fished/fished one","cvcV'cvy","cvc:E'cvy","","E","2150","ḥ.ꜣ.b","dyn","850109","to fish","fischen","2321"
"S","ϣⲧⲁⲙⲉ","","1 | sg.","2 | f.","lock, closing devise","concrete "," object","res/pass","the thing that is (meant to be?) locked","cvcV'cyvt","cvc:E'cyvt","","E","1989","ḫ.t.m","qual/dyn","121710","to seal; to put a seal on","siegeln; verschließen; umschließen","2613"
"S","ϩⲕⲁ","","1 | sg.","1 | m.","wool (Osing 221), sheep shearing","concrete "," object","res/pass","the shaved-off one","cvcV'c","cvca:'/E:'c","","a/E","2137","ẖ.ꜥ.q","dyn","122800","to shave","rasieren","2321"
"S","ⲙⲡⲱⲧ","","1 | sg.","2 | f.","part of veawing apparatus","concrete "," object","act","the one winding around","cvcV'cvt","cvca:'cvt/cvc:a:'cvt","","a","1177","n.b.d","dyn","82850","to wind around; to coil","flechten; sich frisieren","1539"
"S","ϭⲛⲟⲩϥ","","1 | sg.","1 | m.","heavy object","concrete "," object","qual","the measured/-ing one","cvcV'cvy","cvca:'cvy","","a","2584","ṯ.n.f","dyn","175920","to measure; to appraise","messen; veranschlagen; zusammenrechnen","1106"
"S","ⲉⲗⲕⲱ","","1 | sg.","1 | m.","fruit of sycomore (with cut skin)","concrete "," object","unclear","the scratched one (?)","cvcV'cvy","cvca:'cvy","","a","643","n.q.ꜥ","dyn","88990","to rip; to scratch","ritzen","1279"
"B","ⲙⲁϧⲟⲩⲗ","","1 | sg.","1 | m.","chisel, pick","concrete "," object","qual","the effective one","cvcV'cvy","cvca:'cvy|cac:a'cvy","","a","476","m.n.ḫ","dyn/res","71080","to be splendid; to make splendid; to be effective","vortrefflich sein; trefflich machen","2445"
"B","ⲭⲣⲟⲃⲓ","","1 | sg.","2 | f.","sickle ","concrete "," object","qual","the crooked one","cvcV'cyvt","cvca:'cyvt","","a","1794","ẖ.ꜣ.b","qual","122440","to be crooked","krumm sein","2278"
"S","ϩⲉⲃⲥⲱ","","1 | sg.","2 | f.","garment ","concrete "," object","act","the covering one","cvccV'yt","cvcca'yvt","","a","79","ḥ.b.s","dyn","103740","to clothe; to cover","bekleiden; verhüllen","2345"
"S","ⲉⲧⲡⲱ","","1 | sg.","2 | f.","burden (""the thing acting as a load"" ? - not the thing/person/animal being charged with the laod)","concrete "," object","act (non-agent)","the loading one","cvccV'yt","cvcca'yvt","","a","1827","ꜣ.ṯ.p","dyn","340","to load (a ship)","(ein Schiff) beladen","2278"
"S","ϩⲃⲱ","","1 | sg.","2 | f.","covering, tent ","concrete "," object","unclear","the festive one (?)","cvccV'yt","cvcca'yvt","","a","2125","ḥ.ꜣ.b","qual","103560","to be in festival","festlich sein","2321"
"S","ϭⲣⲏϭⲉ","","0 | –","3 | m./f.","dowry (m once)","concrete "," object","qual","the established one","cvcV'cvt","cvcE:'cvt","","E","705","g.r.g","dyn/mov/postural","168000","to establish; to equip; to organize","gründen; einrichten","2345"
"S","ⲡⲣⲏϣ","","1 | sg.","1 | m.","thing spread (mat, cloak) ","concrete "," object","res/pass","the spread one","cvcV'cvy","cvcE:'cvy","","E","531","p.r.ḫ","dyn","61240","to blossom; to unfurl (Sem. loan word)","aufblühen; hinbreiten; ausbreiten","1939"
"S","ⲥⲧⲏⲙ","","1 | sg.","1 | m.","stibium, antimony, kohl","concrete "," object","res/pass","the one painted on the eyes","cvcV'cvy","cvcE:'cvy","","E","1501","s.d.m","dyn","149830","to paint (the eyes)","schminken","2375"
"S","ⲧⲃⲏⲗ","","1 | sg.","1 | m.","fold or sim (for sheep)","concrete "," object","act","the one going around","cvcV'cvy","cvcE:'cvy","","E","1572","t.b.l","mov","178560","to go round (a place); to travel round; to encircle","(um einen Ort) herumgehen; umrunden; (etwas) umgeben","2375"
